Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		EG_BadGast_Glaswand RM_EA	3/2/46					Auto
		EG_BadGast_Glaswand RM_DIM	3/2/47					Auto
		EG_BadGast_Glaswand RM_TWRGB	3/2/48					Auto
		EG_BadGast_Glaswand FEHLER	3/2/49					Auto
	OG		3/3/-					Auto
		OG_Flur LED-Band EA	3/3/0					Auto
		OG_Flur LED-Band DIM_REL	3/3/1					Auto
		OG_Flur LED-Band DIM_ABS	3/3/2					Auto
		OG_Flur LED-Band TW_ABS	3/3/3					Auto
		OG_Flur LED-Band TW_REL	3/3/4					Auto
		OG_Flur LED-Band RGB_ABS	3/3/5					Auto
		OG_Flur LED-Band RM_EA	3/3/6					Auto
		OG_Flur LED-Band RM_DIM	3/3/7					Auto
		OG_Flur LED-Band RM_TWRGB	3/3/8					Auto
		OG_Flur LED-Band FEHLER	3/3/9					Auto
		OG_Kinderbad_Nischenbeleuchtung EA	3/3/10					Auto
		OG_Kinderbad_Nischenbeleuchtung DIM_REL	3/3/11					Auto
		OG_Kinderbad_Nischenbeleuchtung DIM_ABS	3/3/12					Auto
		OG_Kinderbad_Nischenbeleuchtung TW_ABS	3/3/13					Auto
		OG_Kinderbad_Nischenbeleuchtung TW_REL	3/3/14					Auto
		OG_Kinderbad_Nischenbeleuchtung RGB_ABS	3/3/15					Auto
		OG_Kinderbad_Nischenbeleuchtung RM_EA	3/3/16					Auto
		OG_Kinderbad_Nischenbeleuchtung RM_DIM	3/3/17					Auto
		OG_Kinderbad_Nischenbeleuchtung RM_TWRGB	3/3/18					Auto
		OG_Kinderbad_Nischenbeleuchtung FEHLER	3/3/19					Auto
		OG_Kind1_LED-Band EA	3/3/20					Auto
		OG_Kind1_LED-Band DIM_REL	3/3/21					Auto
		OG_Kind1_LED-Band DIM_ABS	3/3/22					Auto
		OG_Kind1_LED-Band TW_ABS	3/3/23					Auto
		OG_Kind1_LED-Band TW_REL	3/3/24					Auto
		OG_Kind1_LED-Band RGB_ABS	3/3/25					Auto
		OG_Kind1_LED-Band RM_EA	3/3/26					Auto
		OG_Kind1_LED-Band RM_DIM	3/3/27					Auto
		OG_Kind1_LED-Band RM_TWRGB	3/3/28					Auto
		OG_Kind1_LED-Band FEHLER	3/3/29					Auto
		OG_Kind2_LED-Band EA	3/3/30					Auto
		OG_Kind2_LED-Band DIM_REL	3/3/31					Auto
		OG_Kind2_LED-Band DIM_ABS	3/3/32					Auto
		OG_Kind2_LED-Band TW_ABS	3/3/33					Auto
		OG_Kind2_LED-Band TW_REL	3/3/34					Auto
		OG_Kind2_LED-Band RGB_ABS	3/3/35					Auto
		OG_Kind2_LED-Band RM_EA	3/3/36					Auto
		OG_Kind2_LED-Band RM_DIM	3/3/37					Auto
		OG_Kind2_LED-Band RM_TWRGB	3/3/38					Auto
		OG_Kind2_LED-Band FEHLER	3/3/39					Auto
		OG_Kind3_LED-Band EA	3/3/40					Auto
		OG_Kind3_LED-Band DIM_REL	3/3/41					Auto
		OG_Kind3_LED-Band DIM_ABS	3/3/42					Auto
		OG_Kind3_LED-Band TW_ABS	3/3/43					Auto
		OG_Kind3_LED-Band TW_REL	3/3/44					Auto
		OG_Kind3_LED-Band RGB_ABS	3/3/45					Auto
		OG_Kind3_LED-Band RM_EA	3/3/46					Auto
		OG_Kind3_LED-Band RM_DIM	3/3/47					Auto
		OG_Kind3_LED-Band RM_TWRGB	3/3/48					Auto
		OG_Kind3_LED-Band FEHLER	3/3/49					Auto
		OG_Eltern_Schrankbeleuchtung EA	3/3/50					Auto
		OG_Eltern_Schrankbeleuchtung DIM_REL	3/3/51					Auto
		OG_Eltern_Schrankbeleuchtung DIM_ABS	3/3/52					Auto
		OG_Eltern_Schrankbeleuchtung TW_ABS	3/3/53					Auto
		OG_Eltern_Schrankbeleuchtung TW_REL	3/3/54					Auto
		OG_Eltern_Schrankbeleuchtung RGB_ABS	3/3/55					Auto
		OG_Eltern_Schrankbeleuchtung RM_EA	3/3/56					Auto
		OG_Eltern_Schrankbeleuchtung RM_DIM	3/3/57					Auto
		OG_Eltern_Schrankbeleuchtung RM_TWRGB	3/3/58					Auto
		OG_Eltern_Schrankbeleuchtung FEHLER	3/3/59					Auto
		OG_Bad_LED-Band_Waschtisch EA	3/3/60					Auto
		OG_Bad_LED-Band_Waschtisch DIM_REL	3/3/61					Auto
		OG_Bad_LED-Band_Waschtisch DIM_ABS	3/3/62					Auto
		OG_Bad_LED-Band_Waschtisch TW_ABS	3/3/63					Auto
		OG_Bad_LED-Band_Waschtisch TW_REL	3/3/64					Auto
		OG_Bad_LED-Band_Waschtisch RGB_ABS	3/3/65					Auto
		OG_Bad_LED-Band_Waschtisch RM_EA	3/3/66					Auto
		OG_Bad_LED-Band_Waschtisch RM_DIM	3/3/67					Auto
		OG_Bad_LED-Band_Waschtisch RM_TWRGB	3/3/68					Auto
		OG_Bad_LED-Band_Waschtisch FEHLER	3/3/69					Auto
		OG_Bad_LED-Band_Dusche EA	3/3/70					Auto
		OG_Bad_LED-Band_Dusche DIM_REL	3/3/71					Auto
		OG_Bad_LED-Band_Dusche DIM_ABS	3/3/72					Auto
		OG_Bad_LED-Band_Dusche TW_ABS	3/3/73					Auto
		OG_Bad_LED-Band_Dusche TW_REL	3/3/74					Auto
		OG_Bad_LED-Band_Dusche RGB_ABS	3/3/75					Auto
		OG_Bad_LED-Band_Dusche RM_EA	3/3/76					Auto
		OG_Bad_LED-Band_Dusche RM_DIM	3/3/77					Auto
		OG_Bad_LED-Band_Dusche RM_TWRGB	3/3/78					Auto
		OG_Bad_LED-Band_Dusche FEHLER	3/3/79					Auto
