Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		AUSSEN_Garage_West RAUMHELLIGKEIT	5/0/110					Auto
		AUSSEN_Garage_West HELLIGKEITSSCHWELLWERT	5/0/111					Auto
		AUSSEN_Garage_West START_KALIBRIERUNG	5/0/112					Auto
		AUSSEN_Garage_West DIMMWERT	5/0/113					Auto
		AUSSEN_Schuppen_Süd TASTERKURZ	5/0/120					Auto
		AUSSEN_Schuppen_Süd TASTERLANG	5/0/121					Auto
		AUSSEN_Schuppen_Süd EXTBEWEGUNG	5/0/122					Auto
		AUSSEN_Schuppen_Süd STATUSAKTOR	5/0/123					Auto
		AUSSEN_Schuppen_Süd SPERRE	5/0/124					Auto
		AUSSEN_Schuppen_Süd ZWANGSFÜHRUNG	5/0/125					Auto
		AUSSEN_Schuppen_Süd STATUSAUTOMATIK	5/0/126					Auto
		AUSSEN_Schuppen_Süd NURIMDUNKELNAKTIV	5/0/127					Auto
		AUSSEN_Schuppen_Süd NACHLAUFZEIT	5/0/128					Auto
		AUSSEN_Schuppen_Süd LEDROT	5/0/129					Auto
		AUSSEN_Schuppen_Süd RAUMHELLIGKEIT	5/0/130					Auto
		AUSSEN_Schuppen_Süd HELLIGKEITSSCHWELLWERT	5/0/131					Auto
		AUSSEN_Schuppen_Süd START_KALIBRIERUNG	5/0/132					Auto
		AUSSEN_Schuppen_Süd DIMMWERT	5/0/133					Auto
		AUSSEN_Garage_Ost TASTERKURZ	5/0/140					Auto
		AUSSEN_Garage_Ost TASTERLANG	5/0/141					Auto
		AUSSEN_Garage_Ost EXTBEWEGUNG	5/0/142					Auto
		AUSSEN_Garage_Ost STATUSAKTOR	5/0/143					Auto
		AUSSEN_Garage_Ost SPERRE	5/0/144					Auto
		AUSSEN_Garage_Ost ZWANGSFÜHRUNG	5/0/145					Auto
		AUSSEN_Garage_Ost STATUSAUTOMATIK	5/0/146					Auto
		AUSSEN_Garage_Ost NURIMDUNKELNAKTIV	5/0/147					Auto
		AUSSEN_Garage_Ost NACHLAUFZEIT	5/0/148					Auto
		AUSSEN_Garage_Ost LEDROT	5/0/149					Auto
		AUSSEN_Garage_Ost RAUMHELLIGKEIT	5/0/150					Auto
		AUSSEN_Garage_Ost HELLIGKEITSSCHWELLWERT	5/0/151					Auto
		AUSSEN_Garage_Ost START_KALIBRIERUNG	5/0/152					Auto
		AUSSEN_Garage_Ost DIMMWERT	5/0/153					Auto
		AUSSEN_Garage_Süd TASTERKURZ	5/0/160					Auto
		AUSSEN_Garage_Süd TASTERLANG	5/0/161					Auto
		AUSSEN_Garage_Süd EXTBEWEGUNG	5/0/162					Auto
		AUSSEN_Garage_Süd STATUSAKTOR	5/0/163					Auto
		AUSSEN_Garage_Süd SPERRE	5/0/164					Auto
		AUSSEN_Garage_Süd ZWANGSFÜHRUNG	5/0/165					Auto
		AUSSEN_Garage_Süd STATUSAUTOMATIK	5/0/166					Auto
		AUSSEN_Garage_Süd NURIMDUNKELNAKTIV	5/0/167					Auto
		AUSSEN_Garage_Süd NACHLAUFZEIT	5/0/168					Auto
		AUSSEN_Garage_Süd LEDROT	5/0/169					Auto
		AUSSEN_Garage_Süd RAUMHELLIGKEIT	5/0/170					Auto
		AUSSEN_Garage_Süd HELLIGKEITSSCHWELLWERT	5/0/171					Auto
		AUSSEN_Garage_Süd START_KALIBRIERUNG	5/0/172					Auto
		AUSSEN_Garage_Süd DIMMWERT	5/0/173					Auto
	UG		5/1/-					Auto
		UG_Flur_BM_Treppe TASTERKURZ	5/1/0					Auto
		UG_Flur_BM_Treppe TASTERLANG	5/1/1					Auto
		UG_Flur_BM_Treppe EXTBEWEGUNG	5/1/2					Auto
		UG_Flur_BM_Treppe STATUSAKTOR	5/1/3					Auto
		UG_Flur_BM_Treppe SPERRE	5/1/4					Auto
		UG_Flur_BM_Treppe ZWANGSFÜHRUNG	5/1/5					Auto
		UG_Flur_BM_Treppe STATUSAUTOMATIK	5/1/6					Auto
		UG_Flur_BM_Treppe NURIMDUNKELNAKTIV	5/1/7					Auto
		UG_Flur_BM_Treppe NACHLAUFZEIT	5/1/8					Auto
		UG_Flur_BM_Treppe LEDROT	5/1/9					Auto
		UG_Flur_BM_Treppe RAUMHELLIGKEIT	5/1/10					Auto
		UG_Flur_BM_Treppe HELLIGKEITSSCHWELLWERT	5/1/11					Auto
		UG_Flur_BM_Treppe START_KALIBRIERUNG	5/1/12					Auto
		UG_Flur_BM_Treppe DIMMWERT	5/1/13					Auto
		UG_Flur_BM_West TASTERKURZ	5/1/20					Auto
		UG_Flur_BM_West TASTERLANG	5/1/21					Auto
		UG_Flur_BM_West EXTBEWEGUNG	5/1/22					Auto
		UG_Flur_BM_West STATUSAKTOR	5/1/23					Auto
		UG_Flur_BM_West SPERRE	5/1/24					Auto
		UG_Flur_BM_West ZWANGSFÜHRUNG	5/1/25					Auto
		UG_Flur_BM_West STATUSAUTOMATIK	5/1/26					Auto
		UG_Flur_BM_West NURIMDUNKELNAKTIV	5/1/27					Auto
		UG_Flur_BM_West NACHLAUFZEIT	5/1/28					Auto
		UG_Flur_BM_West LEDROT	5/1/29					Auto
		UG_Flur_BM_West RAUMHELLIGKEIT	5/1/30					Auto
		UG_Flur_BM_West HELLIGKEITSSCHWELLWERT	5/1/31					Auto
		UG_Flur_BM_West START_KALIBRIERUNG	5/1/32					Auto
		UG_Flur_BM_West DIMMWERT	5/1/33					Auto
		UG_Elektro_PM TASTERKURZ	5/1/40					Auto
		UG_Elektro_PM TASTERLANG	5/1/41					Auto
		UG_Elektro_PM EXTBEWEGUNG	5/1/42					Auto
		UG_Elektro_PM STATUSAKTOR	5/1/43					Auto
		UG_Elektro_PM SPERRE	5/1/44					Auto
		UG_Elektro_PM ZWANGSFÜHRUNG	5/1/45					Auto
		UG_Elektro_PM STATUSAUTOMATIK	5/1/46					Auto
		UG_Elektro_PM NURIMDUNKELNAKTIV	5/1/47					Auto
		UG_Elektro_PM NACHLAUFZEIT	5/1/48					Auto
		UG_Elektro_PM LEDROT	5/1/49					Auto
		UG_Elektro_PM RAUMHELLIGKEIT	5/1/50					Auto
		UG_Elektro_PM HELLIGKEITSSCHWELLWERT	5/1/51					Auto
		UG_Elektro_PM START_KALIBRIERUNG	5/1/52					Auto
		UG_Elektro_PM DIMMWERT	5/1/53					Auto
		UG_Werkstatt_PM TASTERKURZ	5/1/60					Auto
		UG_Werkstatt_PM TASTERLANG	5/1/61					Auto
		UG_Werkstatt_PM EXTBEWEGUNG	5/1/62					Auto
