Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		EG_Speise_Spots_Arbeitsplatte DIM_ABS	2/2/82					Auto
		EG_Speise_Spots_Arbeitsplatte TW_ABS	2/2/83					Auto
		EG_Speise_Spots_Arbeitsplatte TW_REL	2/2/84					Auto
		EG_Speise_Spots_Arbeitsplatte RGB_ABS	2/2/85					Auto
		EG_Speise_Spots_Arbeitsplatte RM_EA	2/2/86					Auto
		EG_Speise_Spots_Arbeitsplatte RM_DIM	2/2/87					Auto
		EG_Speise_Spots_Arbeitsplatte RM_TWRGB	2/2/88					Auto
		EG_Speise_Spots_Arbeitsplatte FEHLER	2/2/89					Auto
		EG_Wohnen_Spots_Nordreihe EA	2/2/90					Auto
		EG_Wohnen_Spots_Nordreihe DIM_REL	2/2/91					Auto
		EG_Wohnen_Spots_Nordreihe DIM_ABS	2/2/92					Auto
		EG_Wohnen_Spots_Nordreihe TW_ABS	2/2/93					Auto
		EG_Wohnen_Spots_Nordreihe TW_REL	2/2/94					Auto
		EG_Wohnen_Spots_Nordreihe RGB_ABS	2/2/95					Auto
		EG_Wohnen_Spots_Nordreihe RM_EA	2/2/96					Auto
		EG_Wohnen_Spots_Nordreihe RM_DIM	2/2/97					Auto
		EG_Wohnen_Spots_Nordreihe RM_TWRGB	2/2/98					Auto
		EG_Wohnen_Spots_Nordreihe FEHLER	2/2/99					Auto
		EG_Wohnen_Spots_Südreihe EA	2/2/100					Auto
		EG_Wohnen_Spots_Südreihe DIM_REL	2/2/101					Auto
		EG_Wohnen_Spots_Südreihe DIM_ABS	2/2/102					Auto
		EG_Wohnen_Spots_Südreihe TW_ABS	2/2/103					Auto
		EG_Wohnen_Spots_Südreihe TW_REL	2/2/104					Auto
		EG_Wohnen_Spots_Südreihe RGB_ABS	2/2/105					Auto
		EG_Wohnen_Spots_Südreihe RM_EA	2/2/106					Auto
		EG_Wohnen_Spots_Südreihe RM_DIM	2/2/107					Auto
		EG_Wohnen_Spots_Südreihe RM_TWRGB	2/2/108					Auto
		EG_Wohnen_Spots_Südreihe FEHLER	2/2/109					Auto
		EG_BadGast_Spots_Dusche EA	2/2/110					Auto
		EG_BadGast_Spots_Dusche DIM_REL	2/2/111					Auto
		EG_BadGast_Spots_Dusche DIM_ABS	2/2/112					Auto
		EG_BadGast_Spots_Dusche TW_ABS	2/2/113					Auto
		EG_BadGast_Spots_Dusche TW_REL	2/2/114					Auto
		EG_BadGast_Spots_Dusche RGB_ABS	2/2/115					Auto
		EG_BadGast_Spots_Dusche RM_EA	2/2/116					Auto
		EG_BadGast_Spots_Dusche RM_DIM	2/2/117					Auto
		EG_BadGast_Spots_Dusche RM_TWRGB	2/2/118					Auto
		EG_BadGast_Spots_Dusche FEHLER	2/2/119					Auto
		EG_Bad_Gast_Spots_Fenster EA	2/2/120					Auto
		EG_Bad_Gast_Spots_Fenster DIM_REL	2/2/121					Auto
		EG_Bad_Gast_Spots_Fenster DIM_ABS	2/2/122					Auto
		EG_Bad_Gast_Spots_Fenster TW_ABS	2/2/123					Auto
		EG_Bad_Gast_Spots_Fenster TW_REL	2/2/124					Auto
		EG_Bad_Gast_Spots_Fenster RGB_ABS	2/2/125					Auto
		EG_Bad_Gast_Spots_Fenster RM_EA	2/2/126					Auto
		EG_Bad_Gast_Spots_Fenster RM_DIM	2/2/127					Auto
		EG_Bad_Gast_Spots_Fenster RM_TWRGB	2/2/128					Auto
		EG_Bad_Gast_Spots_Fenster FEHLER	2/2/129					Auto
